Data logger for tempereture and humidity.
Code, design, and soldering by Antti Mikkonen, a.mikkonen@iki.fi, 2019.
Based on open source projects and libraries. See source for details.
/home/ami/src/arduino/promini/logger_v8_ada/logger_v8_ada.ino
UTC time (year/month/date hour:minute:second), T RTC (C), T sht31 (C), T si7021 (C), RH sht31 (-), RH si7021 (-), heaterOn sht31 (bool),  heaterOn si7021 (bool), battery voltage (V)
2019/04/15 15:08:00, 26.00, 23.40, 23.22, 18.21, 16.39, 0, 0, 4.66
2019/04/15 15:09:00, 25.75, 23.40, 23.25, 17.12, 15.62, 0, 0, 4.67
2019/04/15 15:10:00, 25.75, 23.56, 23.42, 16.61, 14.98, 0, 0, 4.67
2019/04/15 15:11:00, 25.75, 23.67, 23.50, 16.47, 14.73, 0, 0, 4.67
2019/04/15 15:12:00, 25.75, 23.77, 23.60, 16.36, 14.68, 0, 0, 4.67
2019/04/15 15:13:00, 25.75, 23.84, 23.64, 16.30, 14.59, 0, 0, 4.67
2019/04/15 15:14:00, 25.75, 23.91, 23.68, 16.26, 14.54, 0, 0, 4.67
2019/04/15 15:15:00, 25.50, 23.90, 23.73, 16.21, 14.50, 0, 0, 4.67
2019/04/15 15:16:00, 25.50, 23.95, 23.72, 16.18, 14.46, 0, 0, 4.67
2019/04/15 15:17:00, 25.50, 23.98, 23.75, 16.16, 14.43, 0, 0, 4.67
2019/04/15 15:18:00, 25.50, 23.95, 23.76, 16.21, 14.43, 0, 0, 4.67
2019/04/15 15:19:00, 25.50, 23.97, 23.75, 16.15, 14.44, 0, 0, 4.67
2019/04/15 15:20:00, 25.50, 23.98, 23.77, 16.16, 14.46, 0, 0, 4.67
2019/04/15 15:21:00, 25.50, 23.95, 23.77, 16.18, 14.43, 0, 0, 4.67
2019/04/15 15:22:00, 25.50, 24.01, 23.79, 16.26, 14.46, 0, 0, 4.67
2019/04/15 15:23:00, 25.50, 24.01, 23.80, 16.10, 14.40, 0, 0, 4.67
2019/04/15 15:24:00, 25.25, 23.99, 23.78, 16.16, 14.40, 0, 0, 4.68
2019/04/15 15:25:00, 25.25, 23.99, 23.79, 16.13, 14.40, 0, 0, 4.68
2019/04/15 15:26:00, 25.25, 24.01, 23.81, 16.07, 14.39, 0, 0, 4.68
2019/04/15 15:27:00, 25.25, 24.01, 23.77, 16.12, 14.39, 0, 0, 4.68
2019/04/15 15:28:00, 25.25, 24.05, 23.78, 16.13, 14.40, 0, 0, 4.68
2019/04/15 15:29:00, 25.25, 24.04, 23.79, 16.10, 14.39, 0, 0, 4.68
2019/04/15 15:30:00, 25.25, 24.04, 23.80, 16.09, 14.40, 0, 0, 4.68
2019/04/15 15:31:00, 25.25, 24.04, 23.82, 16.10, 14.38, 0, 0, 4.68
2019/04/15 15:32:00, 25.25, 24.02, 23.80, 16.13, 14.37, 0, 0, 4.68
2019/04/15 15:33:00, 25.25, 24.01, 23.80, 16.09, 14.38, 0, 0, 4.68
2019/04/15 15:34:00, 25.25, 24.05, 23.81, 16.12, 14.40, 0, 0, 4.68
2019/04/15 15:35:00, 25.25, 24.02, 23.80, 16.15, 14.37, 0, 0, 4.68
2019/04/15 15:36:00, 25.25, 24.05, 23.82, 16.07, 14.36, 0, 0, 4.68
2019/04/15 15:37:00, 25.25, 24.05, 23.81, 16.04, 14.33, 0, 0, 4.68
2019/04/15 15:38:00, 25.25, 24.04, 23.82, 16.09, 14.33, 0, 0, 4.68
2019/04/15 15:39:00, 25.00, 24.09, 23.86, 16.02, 14.33, 0, 0, 4.68
2019/04/15 15:40:00, 25.00, 24.09, 23.87, 16.02, 14.30, 0, 0, 4.68
2019/04/15 15:41:00, 25.00, 24.08, 23.87, 16.10, 14.31, 0, 0, 4.68
2019/04/15 15:42:00, 25.00, 24.08, 23.83, 16.04, 14.30, 0, 0, 4.68
2019/04/15 15:43:00, 25.00, 24.07, 23.84, 16.02, 14.30, 0, 0, 4.68
2019/04/15 15:44:00, 25.00, 24.08, 23.86, 16.07, 14.30, 0, 0, 4.68
2019/04/15 15:45:00, 25.00, 24.08, 23.88, 16.02, 14.29, 0, 0, 4.68
