Data logger for tempereture and humidity.
Code, design, and soldering by Antti Mikkonen, a.mikkonen@iki.fi, 2019.
Based on open source projects and libraries. See source for details.
/home/ami/src/arduino/promini/logger_v8_ada/logger_v8_ada.ino
UTC time (year/month/date hour:minute:second), T RTC (C), T sht31 (C), T si7021 (C), RH sht31 (-), RH si7021 (-), heaterOn sht31 (bool),  heaterOn si7021 (bool), battery voltage (V)
2019/04/05 00:13:00, 14.00, 13.68, 13.59, 22.41, 19.84, 0, 0, 4.18
2019/04/05 00:14:00, 14.00, 13.68, 13.59, 22.39, 19.83, 0, 0, 4.18
2019/04/05 00:15:00, 14.00, 13.69, 13.58, 22.42, 19.81, 0, 0, 4.18
2019/04/05 00:16:00, 14.00, 13.68, 13.59, 22.39, 19.81, 0, 0, 4.18
2019/04/05 00:17:00, 14.00, 13.65, 13.58, 22.34, 19.82, 0, 0, 4.18
2019/04/05 00:18:00, 14.00, 13.65, 13.56, 22.37, 19.82, 0, 0, 4.18
2019/04/05 00:19:00, 14.00, 13.69, 13.56, 22.42, 19.81, 0, 0, 4.18
2019/04/05 00:20:00, 14.00, 13.66, 13.56, 22.35, 19.81, 0, 0, 4.18
2019/04/05 00:21:00, 14.00, 13.65, 13.52, 22.47, 19.83, 0, 0, 4.18
2019/04/05 00:22:00, 14.00, 13.63, 13.54, 22.43, 19.84, 0, 0, 4.18
2019/04/05 00:23:00, 14.00, 13.62, 13.51, 22.43, 19.86, 0, 0, 4.18
2019/04/05 00:24:00, 14.00, 13.58, 13.52, 22.46, 19.86, 0, 0, 4.18
2019/04/05 00:25:00, 14.00, 13.61, 13.51, 22.46, 19.85, 0, 0, 4.18
2019/04/05 00:26:00, 14.00, 13.59, 13.50, 22.43, 19.84, 0, 0, 4.18
2019/04/05 00:27:00, 14.00, 13.56, 13.46, 22.52, 19.86, 0, 0, 4.18
2019/04/05 00:28:00, 13.75, 13.55, 13.48, 22.45, 19.87, 0, 0, 4.18
2019/04/05 00:29:00, 13.75, 13.53, 13.45, 22.49, 19.88, 0, 0, 4.18
2019/04/05 00:30:00, 13.75, 13.53, 13.44, 22.46, 19.88, 0, 0, 4.18
2019/04/05 00:31:00, 13.75, 13.55, 13.45, 22.43, 19.87, 0, 0, 4.18
2019/04/05 00:32:00, 13.75, 13.52, 13.42, 22.51, 19.89, 0, 0, 4.18
2019/04/05 00:33:00, 13.75, 13.49, 13.41, 22.55, 19.91, 0, 0, 4.18
2019/04/05 00:34:00, 13.75, 13.48, 13.41, 22.60, 19.94, 0, 0, 4.18
2019/04/05 00:35:00, 13.75, 13.48, 13.41, 22.52, 19.96, 0, 0, 4.18
2019/04/05 00:36:00, 13.75, 13.48, 13.37, 22.58, 19.97, 0, 0, 4.18
2019/04/05 00:37:00, 13.75, 13.48, 13.36, 22.57, 19.95, 0, 0, 4.18
2019/04/05 00:38:00, 13.75, 13.44, 13.36, 22.53, 19.95, 0, 0, 4.18
2019/04/05 00:39:00, 13.75, 13.45, 13.36, 22.57, 19.96, 0, 0, 4.18
2019/04/05 00:40:00, 13.75, 13.45, 13.37, 22.60, 19.97, 0, 0, 4.18
2019/04/05 00:41:00, 13.75, 13.42, 13.36, 22.56, 19.96, 0, 0, 4.18
2019/04/05 00:42:00, 13.75, 13.44, 13.32, 22.60, 19.97, 0, 0, 4.18
2019/04/05 00:43:00, 13.75, 13.40, 13.31, 22.66, 19.98, 0, 0, 4.18
2019/04/05 00:44:00, 13.75, 13.38, 13.29, 22.56, 20.00, 0, 0, 4.18
2019/04/05 00:45:00, 13.75, 13.41, 13.28, 22.61, 19.99, 0, 0, 4.18
2019/04/05 00:46:00, 13.75, 13.38, 13.29, 22.64, 20.00, 0, 0, 4.18
2019/04/05 00:47:00, 13.75, 13.38, 13.28, 22.65, 20.03, 0, 0, 4.18
2019/04/05 00:48:00, 13.75, 13.35, 13.25, 22.66, 20.05, 0, 0, 4.18
2019/04/05 00:49:00, 13.75, 13.35, 13.25, 22.67, 20.05, 0, 0, 4.18
2019/04/05 00:50:00, 13.75, 13.33, 13.22, 22.75, 20.08, 0, 0, 4.18
2019/04/05 00:51:00, 13.75, 13.28, 13.24, 22.68, 20.10, 0, 0, 4.18
2019/04/05 00:52:00, 13.75, 13.34, 13.22, 22.68, 20.11, 0, 0, 4.18
2019/04/05 00:53:00, 13.50, 13.28, 13.18, 22.76, 20.13, 0, 0, 4.18
2019/04/05 00:54:00, 13.50, 13.27, 13.16, 22.81, 20.17, 0, 0, 4.18
2019/04/05 00:55:00, 13.50, 13.28, 13.18, 22.81, 20.21, 0, 0, 4.18
2019/04/05 00:56:00, 13.50, 13.28, 13.17, 22.90, 20.23, 0, 0, 4.18
2019/04/05 00:57:00, 13.50, 13.27, 13.17, 22.84, 20.19, 0, 0, 4.18
2019/04/05 00:58:00, 13.50, 13.23, 13.15, 22.97, 20.26, 0, 0, 4.18
2019/04/05 00:59:00, 13.50, 13.21, 13.12, 23.00, 20.30, 0, 0, 4.18
2019/04/05 01:00:00, 13.50, 13.20, 13.12, 22.93, 20.32, 0, 0, 4.18
2019/04/05 01:01:00, 13.50, 13.18, 13.12, 22.98, 20.35, 0, 0, 4.18
2019/04/05 01:02:00, 13.50, 13.21, 13.13, 23.05, 20.37, 0, 0, 4.18
2019/04/05 01:03:00, 13.50, 13.18, 13.11, 22.97, 20.36, 0, 0, 4.18
2019/04/05 01:04:00, 13.50, 13.18, 13.10, 22.98, 20.39, 0, 0, 4.18
2019/04/05 01:05:00, 13.50, 13.20, 13.09, 22.94, 20.39, 0, 0, 4.18
2019/04/05 01:06:00, 13.50, 13.16, 13.08, 22.98, 20.38, 0, 0, 4.18
2019/04/05 01:07:00, 13.50, 13.20, 13.06, 22.95, 20.38, 0, 0, 4.18
2019/04/05 01:08:00, 13.50, 13.14, 13.04, 23.06, 20.38, 0, 0, 4.18
2019/04/05 01:09:00, 13.50, 13.14, 13.04, 23.05, 20.41, 0, 0, 4.18
2019/04/05 01:10:00, 13.50, 13.13, 13.04, 23.05, 20.42, 0, 0, 4.18
2019/04/05 01:11:00, 13.50, 13.10, 13.02, 23.16, 20.45, 0, 0, 4.18
2019/04/05 01:12:00, 13.50, 13.10, 13.02, 23.12, 20.53, 0, 0, 4.18
2019/04/05 01:13:00, 13.50, 13.10, 12.98, 23.12, 20.52, 0, 0, 4.18
2019/04/05 01:14:00, 13.50, 13.07, 13.01, 23.19, 20.54, 0, 0, 4.18
2019/04/05 01:15:00, 13.50, 13.07, 12.98, 23.19, 20.54, 0, 0, 4.18
2019/04/05 01:16:00, 13.50, 13.06, 12.99, 23.18, 20.54, 0, 0, 4.18
2019/04/05 01:17:00, 13.50, 13.06, 12.98, 23.17, 20.52, 0, 0, 4.18
2019/04/05 01:18:00, 13.50, 13.09, 12.98, 23.17, 20.53, 0, 0, 4.18
2019/04/05 01:19:00, 13.50, 13.06, 12.97, 23.20, 20.53, 0, 0, 4.18
2019/04/05 01:20:00, 13.50, 13.02, 12.96, 23.17, 20.57, 0, 0, 4.18
2019/04/05 01:21:00, 13.50, 13.05, 12.94, 23.17, 20.57, 0, 0, 4.18
2019/04/05 01:22:00, 13.50, 13.00, 12.94, 23.22, 20.58, 0, 0, 4.18
2019/04/05 01:23:00, 13.50, 13.05, 12.95, 23.20, 20.59, 0, 0, 4.18
2019/04/05 01:24:00, 13.25, 13.05, 12.93, 23.23, 20.59, 0, 0, 4.18
2019/04/05 01:25:00, 13.25, 13.00, 12.93, 23.30, 20.63, 0, 0, 4.18
2019/04/05 01:26:00, 13.25, 13.02, 12.92, 23.32, 20.69, 0, 0, 4.18
2019/04/05 01:27:00, 13.25, 13.00, 12.89, 23.39, 20.71, 0, 0, 4.18
2019/04/05 01:28:00, 13.25, 12.97, 12.87, 23.43, 20.74, 0, 0, 4.18
2019/04/05 01:29:00, 13.25, 12.96, 12.87, 23.38, 20.77, 0, 0, 4.18
2019/04/05 01:30:00, 13.25, 12.93, 12.85, 23.43, 20.80, 0, 0, 4.18
2019/04/05 01:31:00, 13.25, 12.92, 12.87, 23.46, 20.84, 0, 0, 4.18
2019/04/05 01:32:00, 13.25, 12.93, 12.84, 23.43, 20.84, 0, 0, 4.18
2019/04/05 01:33:00, 13.25, 12.92, 12.83, 23.51, 20.87, 0, 0, 4.18
2019/04/05 01:34:00, 13.25, 12.93, 12.84, 23.48, 20.90, 0, 0, 4.18
2019/04/05 01:35:00, 13.25, 12.93, 12.84, 23.50, 20.92, 0, 0, 4.18
2019/04/05 01:36:00, 13.25, 12.93, 12.85, 23.48, 20.92, 0, 0, 4.18
2019/04/05 01:37:00, 13.25, 12.92, 12.82, 23.51, 20.90, 0, 0, 4.18
2019/04/05 01:38:00, 13.25, 12.90, 12.81, 23.57, 20.93, 0, 0, 4.18
2019/04/05 01:39:00, 13.25, 12.89, 12.81, 23.57, 20.97, 0, 0, 4.18
2019/04/05 01:40:00, 13.25, 12.89, 12.79, 23.59, 21.02, 0, 0, 4.18
2019/04/05 01:41:00, 13.25, 12.87, 12.79, 23.55, 20.99, 0, 0, 4.18
2019/04/05 01:42:00, 13.25, 12.86, 12.79, 23.58, 20.95, 0, 0, 4.18
2019/04/05 01:43:00, 13.25, 12.86, 12.80, 23.57, 20.97, 0, 0, 4.18
2019/04/05 01:44:00, 13.25, 12.85, 12.79, 23.62, 21.01, 0, 0, 4.18
2019/04/05 01:45:00, 13.25, 12.86, 12.79, 23.59, 20.97, 0, 0, 4.18
2019/04/05 01:46:00, 13.25, 12.85, 12.77, 23.58, 21.00, 0, 0, 4.18
2019/04/05 01:47:00, 13.25, 12.80, 12.76, 23.68, 21.00, 0, 0, 4.18
2019/04/05 01:48:00, 13.25, 12.83, 12.76, 23.66, 21.03, 0, 0, 4.18
2019/04/05 01:49:00, 13.25, 12.80, 12.76, 23.69, 21.06, 0, 0, 4.18
2019/04/05 01:50:00, 13.25, 12.83, 12.73, 23.70, 21.07, 0, 0, 4.18
2019/04/05 01:51:00, 13.25, 12.82, 12.72, 23.73, 21.09, 0, 0, 4.18
2019/04/05 01:52:00, 13.25, 12.80, 12.76, 23.70, 21.06, 0, 0, 4.18
2019/04/05 01:53:00, 13.25, 12.79, 12.72, 23.72, 21.08, 0, 0, 4.18
2019/04/05 01:54:00, 13.25, 12.78, 12.70, 23.70, 21.09, 0, 0, 4.18
2019/04/05 01:55:00, 13.25, 12.82, 12.71, 23.70, 21.13, 0, 0, 4.18
2019/04/05 01:56:00, 13.25, 12.83, 12.73, 23.69, 21.12, 0, 0, 4.18
2019/04/05 01:57:00, 13.25, 12.79, 12.72, 23.73, 21.11, 0, 0, 4.18
2019/04/05 01:58:00, 13.25, 12.82, 12.72, 23.66, 21.10, 0, 0, 4.18
2019/04/05 01:59:00, 13.25, 12.78, 12.71, 23.82, 21.16, 0, 0, 4.18
2019/04/05 02:00:00, 13.25, 12.79, 12.70, 23.86, 21.23, 0, 0, 4.18
2019/04/05 02:01:00, 13.25, 12.78, 12.67, 23.79, 21.24, 0, 0, 4.18
2019/04/05 02:02:00, 13.25, 12.76, 12.68, 23.83, 21.22, 0, 0, 4.18
2019/04/05 02:03:00, 13.00, 12.75, 12.68, 23.86, 21.25, 0, 0, 4.18
2019/04/05 02:04:00, 13.00, 12.76, 12.68, 23.81, 21.26, 0, 0, 4.18
2019/04/05 02:05:00, 13.00, 12.72, 12.65, 23.99, 21.32, 0, 0, 4.18
2019/04/05 02:06:00, 13.00, 12.73, 12.65, 23.97, 21.36, 0, 0, 4.18
2019/04/05 02:07:00, 13.00, 12.70, 12.65, 23.99, 21.38, 0, 0, 4.18
2019/04/05 02:08:00, 13.00, 12.73, 12.66, 23.97, 21.39, 0, 0, 4.18
2019/04/05 02:09:00, 13.00, 12.73, 12.65, 24.00, 21.43, 0, 0, 4.18
2019/04/05 02:10:00, 13.00, 12.72, 12.62, 24.13, 21.48, 0, 0, 4.18
2019/04/05 02:11:00, 13.00, 12.73, 12.65, 24.11, 21.52, 0, 0, 4.18
2019/04/05 02:12:00, 13.00, 12.72, 12.65, 24.07, 21.50, 0, 0, 4.18
2019/04/05 02:13:00, 13.00, 12.69, 12.65, 24.21, 21.53, 0, 0, 4.18
2019/04/05 02:14:00, 13.00, 12.72, 12.62, 24.17, 21.60, 0, 0, 4.18
2019/04/05 02:15:00, 13.00, 12.70, 12.62, 24.19, 21.63, 0, 0, 4.18
2019/04/05 02:16:00, 13.00, 12.69, 12.59, 24.24, 21.64, 0, 0, 4.18
2019/04/05 02:17:00, 13.00, 12.65, 12.57, 24.34, 21.70, 0, 0, 4.18
2019/04/05 02:18:00, 13.00, 12.65, 12.58, 24.27, 21.73, 0, 0, 4.18
2019/04/05 02:19:00, 13.00, 12.63, 12.57, 24.35, 21.74, 0, 0, 4.18
2019/04/05 02:20:00, 13.00, 12.65, 12.57, 24.37, 21.80, 0, 0, 4.18
2019/04/05 02:21:00, 13.00, 12.65, 12.56, 24.37, 21.78, 0, 0, 4.18
2019/04/05 02:22:00, 13.00, 12.63, 12.55, 24.38, 21.82, 0, 0, 4.18
2019/04/05 02:23:00, 13.00, 12.62, 12.54, 24.41, 21.81, 0, 0, 4.18
2019/04/05 02:24:00, 13.00, 12.61, 12.53, 24.47, 21.84, 0, 0, 4.18
2019/04/05 02:25:00, 13.00, 12.58, 12.51, 24.61, 21.94, 0, 0, 4.18
2019/04/05 02:26:00, 13.00, 12.59, 12.50, 24.52, 21.96, 0, 0, 4.18
2019/04/05 02:27:00, 13.00, 12.58, 12.51, 24.54, 21.95, 0, 0, 4.18
2019/04/05 02:28:00, 13.00, 12.59, 12.51, 24.49, 21.95, 0, 0, 4.18
2019/04/05 02:29:00, 13.00, 12.59, 12.51, 24.54, 21.97, 0, 0, 4.18
2019/04/05 02:30:00, 13.00, 12.59, 12.50, 24.57, 21.99, 0, 0, 4.18
2019/04/05 02:31:00, 13.00, 12.58, 12.49, 24.58, 22.02, 0, 0, 4.18
2019/04/05 02:32:00, 13.00, 12.54, 12.42, 24.69, 22.09, 0, 0, 4.18
2019/04/05 02:33:00, 13.00, 12.54, 12.42, 24.81, 22.19, 0, 0, 4.18
2019/04/05 02:34:00, 13.00, 12.48, 12.42, 25.05, 22.36, 0, 0, 4.18
2019/04/05 02:35:00, 13.00, 12.47, 12.41, 25.10, 22.45, 0, 0, 4.18
2019/04/05 02:36:00, 13.00, 12.47, 12.41, 25.02, 22.47, 0, 0, 4.18
2019/04/05 02:37:00, 13.00, 12.47, 12.42, 24.90, 22.43, 0, 0, 4.18
2019/04/05 02:38:00, 12.75, 12.47, 12.40, 25.16, 22.45, 0, 0, 4.18
2019/04/05 02:39:00, 12.75, 12.48, 12.42, 25.05, 22.50, 0, 0, 4.18
2019/04/05 02:40:00, 12.75, 12.47, 12.40, 25.16, 22.54, 0, 0, 4.18
