Data logger for tempereture and humidity.
Code, design, and soldering by Antti Mikkonen, a.mikkonen@iki.fi, 2019.
Based on open source projects and libraries. See source for details.
/home/ami/src/arduino/promini/logger_v8_ada/logger_v8_ada.ino
UTC time (year/month/date hour:minute:second), T RTC (C), T sht31 (C), T si7021 (C), RH sht31 (-), RH si7021 (-), heaterOn sht31 (bool),  heaterOn si7021 (bool), battery voltage (V)
2019/04/07 00:06:00, 4.50, 4.96, 4.25, 33.73, 32.23, 0, 0, 4.18
2019/04/07 00:07:00, 4.25, 4.91, 4.25, 33.77, 32.25, 0, 0, 4.18
2019/04/07 00:08:00, 4.25, 4.91, 4.22, 33.76, 32.23, 0, 0, 4.18
2019/04/07 00:09:00, 4.25, 4.91, 4.18, 33.79, 32.24, 0, 0, 4.18
2019/04/07 00:10:00, 4.25, 4.87, 4.18, 33.76, 32.24, 0, 0, 4.18
2019/04/07 00:11:00, 4.25, 4.83, 4.13, 33.82, 32.25, 0, 0, 4.18
2019/04/07 00:12:00, 4.25, 4.79, 4.10, 33.84, 32.26, 0, 0, 4.18
2019/04/07 00:13:00, 4.25, 4.78, 4.09, 33.78, 32.27, 0, 0, 4.18
2019/04/07 00:14:00, 4.25, 4.75, 4.08, 33.83, 32.27, 0, 0, 4.18
2019/04/07 00:15:00, 4.25, 4.73, 4.06, 33.78, 32.26, 0, 0, 4.18
2019/04/07 00:16:00, 4.25, 4.73, 4.04, 33.79, 32.27, 0, 0, 4.18
2019/04/07 00:17:00, 4.25, 4.70, 3.99, 33.83, 32.27, 0, 0, 4.18
2019/04/07 00:18:00, 4.25, 4.68, 3.97, 33.83, 32.29, 0, 0, 4.18
2019/04/07 00:19:00, 4.00, 4.65, 3.96, 33.83, 32.29, 0, 0, 4.18
2019/04/07 00:20:00, 4.00, 4.62, 3.92, 33.84, 32.31, 0, 0, 4.18
2019/04/07 00:21:00, 4.00, 4.61, 3.91, 33.82, 32.29, 0, 0, 4.18
2019/04/07 00:22:00, 4.00, 4.58, 3.86, 33.84, 32.30, 0, 0, 4.18
2019/04/07 00:23:00, 4.00, 4.53, 3.85, 33.88, 32.34, 0, 0, 4.18
2019/04/07 00:24:00, 4.00, 4.53, 3.83, 33.82, 32.32, 0, 0, 4.18
2019/04/07 00:25:00, 4.00, 4.51, 3.82, 33.85, 32.33, 0, 0, 4.18
2019/04/07 00:26:00, 4.00, 4.48, 3.79, 33.87, 32.33, 0, 0, 4.18
2019/04/07 00:27:00, 4.00, 4.45, 3.78, 33.86, 32.33, 0, 0, 4.18
2019/04/07 00:28:00, 4.00, 4.44, 3.75, 33.87, 32.33, 0, 0, 4.18
2019/04/07 00:29:00, 3.75, 4.45, 3.75, 33.88, 32.32, 0, 0, 4.18
2019/04/07 00:30:00, 3.75, 4.42, 3.74, 33.82, 32.33, 0, 0, 4.18
2019/04/07 00:31:00, 3.75, 4.41, 3.69, 33.85, 32.33, 0, 0, 4.18
2019/04/07 00:32:00, 3.75, 4.36, 3.66, 33.89, 32.33, 0, 0, 4.18
2019/04/07 00:33:00, 3.75, 4.34, 3.66, 33.91, 32.34, 0, 0, 4.18
2019/04/07 00:34:00, 3.75, 4.31, 3.64, 33.94, 32.36, 0, 0, 4.18
2019/04/07 00:35:00, 3.75, 4.29, 3.62, 33.92, 32.36, 0, 0, 4.18
2019/04/07 00:36:00, 3.75, 4.27, 3.59, 33.94, 32.36, 0, 0, 4.18
2019/04/07 00:37:00, 3.75, 4.27, 3.54, 33.93, 32.38, 0, 0, 4.18
2019/04/07 00:38:00, 3.75, 4.23, 3.53, 33.97, 32.39, 0, 0, 4.18
2019/04/07 00:39:00, 3.75, 4.21, 3.53, 33.98, 32.40, 0, 0, 4.18
2019/04/07 00:40:00, 3.75, 4.21, 3.51, 33.94, 32.40, 0, 0, 4.18
2019/04/07 00:41:00, 3.75, 4.15, 3.51, 34.00, 32.40, 0, 0, 4.18
2019/04/07 00:42:00, 3.50, 4.14, 3.48, 33.98, 32.41, 0, 0, 4.18
2019/04/07 00:43:00, 3.50, 4.13, 3.45, 34.00, 32.42, 0, 0, 4.18
2019/04/07 00:44:00, 3.50, 4.11, 3.42, 33.97, 32.43, 0, 0, 4.18
2019/04/07 00:45:00, 3.50, 4.08, 3.38, 33.95, 32.41, 0, 0, 4.18
2019/04/07 00:46:00, 3.50, 4.07, 3.38, 34.00, 32.42, 0, 0, 4.18
2019/04/07 00:47:00, 3.50, 4.04, 3.38, 34.00, 32.43, 0, 0, 4.18
2019/04/07 00:48:00, 3.50, 4.04, 3.36, 34.01, 32.44, 0, 0, 4.18
2019/04/07 00:49:00, 3.50, 4.00, 3.35, 34.00, 32.45, 0, 0, 4.18
2019/04/07 00:50:00, 3.50, 3.97, 3.28, 34.01, 32.43, 0, 0, 4.18
2019/04/07 00:51:00, 3.50, 3.96, 3.28, 34.01, 32.44, 0, 0, 4.18
2019/04/07 00:52:00, 3.50, 3.96, 3.26, 33.99, 32.44, 0, 0, 4.18
2019/04/07 00:53:00, 3.50, 3.92, 3.26, 33.99, 32.45, 0, 0, 4.18
