Data logger for tempereture and humidity.
Code, design, and soldering by Antti Mikkonen, a.mikkonen@iki.fi, 2019.
Based on open source projects and libraries. See source for details.
/home/ami/src/arduino/promini/logger_v8_ada/logger_v8_ada.ino
UTC time (year/month/date hour:minute:second), T RTC (C), T sht31 (C), T si7021 (C), RH sht31 (-), RH si7021 (-), heaterOn sht31 (bool),  heaterOn si7021 (bool), battery voltage (V)
2019/04/06 00:07:00, 7.50, 7.87, 7.57, 31.33, 29.16, 0, 0, 4.19
2019/04/06 00:08:00, 7.50, 7.85, 7.54, 31.38, 29.17, 0, 0, 4.19
2019/04/06 00:09:00, 7.50, 7.82, 7.53, 31.33, 29.19, 0, 0, 4.19
2019/04/06 00:10:00, 7.50, 7.80, 7.49, 31.43, 29.18, 0, 0, 4.19
2019/04/06 00:11:00, 7.50, 7.77, 7.47, 31.40, 29.20, 0, 0, 4.19
2019/04/06 00:12:00, 7.50, 7.74, 7.45, 31.38, 29.22, 0, 0, 4.19
2019/04/06 00:13:00, 7.50, 7.72, 7.42, 31.34, 29.16, 0, 0, 4.19
2019/04/06 00:14:00, 7.50, 7.71, 7.39, 31.38, 29.15, 0, 0, 4.19
2019/04/06 00:15:00, 7.25, 7.68, 7.39, 31.35, 29.13, 0, 0, 4.19
2019/04/06 00:16:00, 7.25, 7.68, 7.36, 31.40, 29.18, 0, 0, 4.19
2019/04/06 00:17:00, 7.25, 7.63, 7.32, 31.42, 29.20, 0, 0, 4.19
2019/04/06 00:18:00, 7.25, 7.60, 7.30, 31.36, 29.14, 0, 0, 4.19
2019/04/06 00:19:00, 7.25, 7.56, 7.27, 31.44, 29.17, 0, 0, 4.19
2019/04/06 00:20:00, 7.25, 7.56, 7.24, 31.52, 29.22, 0, 0, 4.19
2019/04/06 00:21:00, 7.25, 7.56, 7.23, 31.35, 29.20, 0, 0, 4.19
2019/04/06 00:22:00, 7.25, 7.53, 7.23, 31.39, 29.17, 0, 0, 4.19
2019/04/06 00:23:00, 7.25, 7.49, 7.18, 31.36, 29.16, 0, 0, 4.19
2019/04/06 00:24:00, 7.25, 7.46, 7.16, 31.39, 29.16, 0, 0, 4.19
2019/04/06 00:25:00, 7.25, 7.46, 7.12, 31.39, 29.16, 0, 0, 4.19
2019/04/06 00:26:00, 7.25, 7.43, 7.11, 31.44, 29.19, 0, 0, 4.19
2019/04/06 00:27:00, 7.00, 7.40, 7.08, 31.35, 29.15, 0, 0, 4.19
2019/04/06 00:28:00, 7.00, 7.35, 7.08, 31.41, 29.18, 0, 0, 4.19
2019/04/06 00:29:00, 7.00, 7.35, 7.07, 31.39, 29.15, 0, 0, 4.19
