Data logger for tempereture and humidity.
Code, design, and soldering by Antti Mikkonen, a.mikkonen@iki.fi, 2019.
Based on open source projects and libraries. See source for details.
/home/ami/src/arduino/promini/logger_v8_ada/logger_v8_ada.ino
UTC time (year/month/date hour:minute:second), T RTC (C), T sht31 (C), T si7021 (C), RH sht31 (-), RH si7021 (-), heaterOn sht31 (bool),  heaterOn si7021 (bool), battery voltage (V)
2019/05/28 00:08:00, 23.75, 23.12, 22.91, 36.42, 35.18, 0, 0, 4.28
2019/05/28 00:09:00, 23.75, 23.11, 22.90, 36.40, 35.19, 0, 0, 4.28
2019/05/28 00:10:00, 23.75, 23.15, 22.90, 36.43, 35.19, 0, 0, 4.28
2019/05/28 00:11:00, 23.75, 23.11, 22.91, 36.40, 35.17, 0, 0, 4.28
2019/05/28 00:12:00, 23.75, 23.12, 22.90, 36.41, 35.20, 0, 0, 4.28
2019/05/28 00:13:00, 23.75, 23.12, 22.93, 36.38, 35.14, 0, 0, 4.28
2019/05/28 00:14:00, 23.75, 23.14, 22.93, 36.37, 35.13, 0, 0, 4.28
2019/05/28 00:15:00, 23.75, 23.14, 22.95, 36.36, 35.14, 0, 0, 4.28
2019/05/28 00:16:00, 23.75, 23.11, 22.93, 36.34, 35.13, 0, 0, 4.28
2019/05/28 00:17:00, 23.75, 23.11, 22.90, 36.42, 35.16, 0, 0, 4.28
2019/05/28 00:18:00, 23.75, 23.12, 22.91, 36.39, 35.16, 0, 0, 4.28
2019/05/28 00:19:00, 23.75, 23.12, 22.90, 36.38, 35.16, 0, 0, 4.28
2019/05/28 00:20:00, 23.75, 23.14, 22.93, 36.36, 35.13, 0, 0, 4.28
2019/05/28 00:21:00, 23.75, 23.14, 22.93, 36.39, 35.14, 0, 0, 4.28
2019/05/28 00:22:00, 23.75, 23.14, 22.93, 36.35, 35.14, 0, 0, 4.28
2019/05/28 00:23:00, 23.75, 23.12, 22.94, 36.32, 35.10, 0, 0, 4.28
2019/05/28 00:24:00, 23.75, 23.14, 22.92, 36.35, 35.10, 0, 0, 4.28
2019/05/28 00:25:00, 23.75, 23.11, 22.92, 36.34, 35.16, 0, 0, 4.28
2019/05/28 00:26:00, 23.75, 23.14, 22.91, 36.40, 35.15, 0, 0, 4.28
2019/05/28 00:27:00, 23.75, 23.12, 22.93, 36.40, 35.19, 0, 0, 4.28
2019/05/28 00:28:00, 23.75, 23.11, 22.90, 36.34, 35.15, 0, 0, 4.28
2019/05/28 00:29:00, 23.75, 23.12, 22.92, 36.37, 35.16, 0, 0, 4.29
2019/05/28 00:30:00, 23.75, 23.08, 22.88, 36.40, 35.16, 0, 0, 4.28
2019/05/28 00:31:00, 23.75, 23.12, 22.91, 36.39, 35.16, 0, 0, 4.28
2019/05/28 00:32:00, 23.75, 23.12, 22.92, 36.32, 35.15, 0, 0, 4.28
2019/05/28 00:33:00, 23.75, 23.11, 22.90, 36.38, 35.15, 0, 0, 4.28
2019/05/28 00:34:00, 23.75, 23.09, 22.92, 36.35, 35.14, 0, 0, 4.28
2019/05/28 00:35:00, 23.75, 23.14, 22.90, 36.37, 35.13, 0, 0, 4.28
2019/05/28 00:36:00, 23.75, 23.15, 22.92, 36.31, 35.13, 0, 0, 4.28
2019/05/28 00:37:00, 23.75, 23.14, 22.91, 36.34, 35.09, 0, 0, 4.28
2019/05/28 00:38:00, 23.75, 23.14, 22.93, 36.31, 35.13, 0, 0, 4.28
2019/05/28 00:39:00, 23.75, 23.14, 22.94, 36.33, 35.12, 0, 0, 4.28
2019/05/28 00:40:00, 23.75, 23.14, 22.94, 36.29, 35.05, 0, 0, 4.28
2019/05/28 00:41:00, 23.75, 23.14, 22.91, 36.28, 35.07, 0, 0, 4.28
2019/05/28 00:42:00, 23.75, 23.08, 22.92, 36.32, 35.08, 0, 0, 4.28
2019/05/28 00:43:00, 23.75, 23.14, 22.91, 36.32, 35.09, 0, 0, 4.28
2019/05/28 00:44:00, 23.75, 23.16, 22.93, 36.33, 35.10, 0, 0, 4.28
